rk	ufi	uni	full_name	nt	lat_dd	long_dd	efctv_dt	term_dt_f	term_dt_n	desig_cd	fc	cc_ft	adm1	ft_link	name_rank	lang_cd	transl_cd	script_cd	name_link	cc_nm	generic	full_nm_nd	sort_gen	sort_name	lat_dms	long_dms	mgrs	mod_dt_ft	mod_dt_nm	dialect_cd	display	gis_notes
5	13106681	16543930	Kuluhānd Forest	N	33.257547	75.557423				FRST	V	IND	IN-JK		1							Kuluhand Forest	FOREST	KULUHANDFOREST	33:15:27	75:33:27	43SES5192179978	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106685	16543934	Bharth Forest	N	33.252415	75.595744				FRST	V	IND	IN-JK		1							Bharth Forest	FOREST	BHARTHFOREST	33:15:09	75:35:45	43SES5549379428	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106714	16543963	Kāshwān Forest	N	33.293572	75.653639				FRST	V	IND	IN-JK		1							Kashwan Forest	FOREST	KASHWANFOREST	33:17:37	75:39:13	43SES6085884024	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106729	16543978	Kōāt Forest	N	33.335782	75.625652				FRST	V	IND	IN-JK		1							Koat Forest	FOREST	KOATFOREST	33:20:09	75:37:32	43SES5822488687	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106734	16543983	Khandōl Forest	N	33.352128	75.645526				FRST	V	IND	IN-JK		1							Khandol Forest	FOREST	KHANDOLFOREST	33:21:08	75:38:44	43SES6006290511	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106744	16543993	Hāngarun Forest	N	33.377038	75.62707				FRST	V	IND	IN-JK		1							Hangarun Forest	FOREST	HANGARUNFOREST	33:22:37	75:37:37	43SES5832893262	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106745	16543994	Drubil Forest	N	33.373885	75.64016				FRST	V	IND	IN-JK		1							Drubil Forest	FOREST	DRUBILFOREST	33:22:26	75:38:25	43SES5954892920	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106754	16544003	Horinā Forest	N	33.354996	75.666254				FRST	V	IND	IN-JK		1							Horina Forest	FOREST	HORINAFOREST	33:21:18	75:39:59	43SES6198990841	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106766	16544015	Mejar Forest	N	33.394275	75.63055				FRST	V	IND	IN-JK		1							Mejar Forest	FOREST	MEJARFOREST	33:23:39	75:37:50	43SES5864095175	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106775	16544024	Gurnihund Forest	N	33.401012	75.604374				FRST	V	IND	IN-JK		1							Gurnihund Forest	FOREST	GURNIHUNDFOREST	33:24:04	75:36:16	43SES5620295908	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106778	16544027	Kāmun Forest	N	33.423688	75.597334				FRST	V	IND	IN-JK		1							Kamun Forest	FOREST	KAMUNFOREST	33:25:25	75:35:50	43SES5553398418	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106793	16544042	Muhri Forest	N	33.445318	75.625315				FRST	V	IND	IN-JK		1							Muhri Forest	FOREST	MUHRIFOREST	33:26:43	75:37:31	43SET5812000832	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106811	16544060	Gugiwār Forest	N	33.477828	75.615187				FRST	V	IND	IN-JK		1							Gugiwar Forest	FOREST	GUGIWARFOREST	33:28:40	75:36:55	43SET5715704430	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106820	16544069	Būndē Forest	N	33.493863	75.614627				FRST	V	IND	IN-JK		1							Bunde Forest	FOREST	BUNDEFOREST	33:29:38	75:36:53	43SET5709406208	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106830	16544079	Barinyan Forest	N	33.495332	75.709643				FRST	V	IND	IN-JK		1							Barinyan Forest	FOREST	BARINYANFOREST	33:29:43	75:42:35	43SET6592006427	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106845	16544094	Dūhwār Forest	N	33.463329	75.689298				FRST	V	IND	IN-JK		1							Duhwar Forest	FOREST	DUHWARFOREST	33:27:48	75:41:21	43SET6405302866	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106850	16544099	Baraheng Forest	N	33.453125	75.709082				FRST	V	IND	IN-JK		1							Baraheng Forest	FOREST	BARAHENGFOREST	33:27:11	75:42:33	43SET6589901747	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106861	16544110	Bharander Forest	N	33.422684	75.741875				FRST	V	IND	IN-JK		1							Bharander Forest	FOREST	BHARANDERFOREST	33:25:22	75:44:31	43SES6897198393	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106900	16544149	Dhārdandu Forest	N	33.371807	75.696207				FRST	V	IND	IN-JK		1							Dhardandu Forest	FOREST	DHARDANDUFOREST	33:22:19	75:41:46	43SES6476392723	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106902	16544151	Dhār Forest	N	33.363494	75.688658				FRST	V	IND	IN-JK		1							Dhar Forest	FOREST	DHARFOREST	33:21:49	75:41:19	43SES6406791797	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106905	16544154	Harini Forest	N	33.358294	75.677886				FRST	V	IND	IN-JK		1							Harini Forest	FOREST	HARINIFOREST	33:21:30	75:40:40	43SES6306991214	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
